Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	80/153	7.703789e-63	2.133950e-60	0	0	2.254556e+01	3.224492e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
KEGG_2019_Human	Pathogenic Escherichia coli infection	23/55	3.759845e-16	5.207385e-14	0	0	1.395420e+01	4.956110e+02	ITGB1;ARPC1B;TUBB;ARPC1A;TUBB4B;CLDN1;YWHAZ;ACTB;RHOA;ACTG1;TUBA1C;TUBB6;TUBA1B;TUBB2B;TUBA1A;KRT18;YWHAQ;CTTN;CDH1;ARPC3;NCL;CTNNB1;EZR
KEGG_2019_Human	Focal adhesion	41/199	6.559081e-15	6.056218e-13	0	0	5.098415e+00	1.665037e+02	ITGB1;SHC1;ITGB4;TNC;LAMC2;LAMC1;THBS2;THBS1;ACTB;MYL12A;EGFR;MYL12B;ACTG1;CCND1;ERBB2;RAC2;SPP1;CAPN2;FLNA;ITGB7;RAC1;JUN;LAMB3;ITGA3;CAV1;FN1;LAMB1;ACTN4;RHOA;COL1A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;ZYX;CTNNB1;COL6A3;ITGA6;MYL9;MET
KEGG_2019_Human	Phagosome	35/152	1.876428e-14	1.299426e-12	0	0	5.853638e+00	1.850149e+02	ITGB1;TFRC;THBS2;MPO;CORO1A;THBS1;ACTB;ACTG1;C3;TUBA1C;SEC61A1;TUBB6;TUBA1B;TUBA1A;CTSL;SEC61G;SEC61B;RAC1;ATP6V1F;ATP6V1G1;HLA-DRB5;ATP6V0E1;TUBB;HLA-B;HLA-C;CYBA;HLA-A;TUBB4B;HLA-E;TUBB2B;CANX;HLA-DRA;CALR;HLA-DRB1;RAB7A
KEGG_2019_Human	ECM-receptor interaction	25/82	1.093682e-13	6.059001e-12	0	0	8.521368e+00	2.543122e+02	ITGB1;SDC4;ITGB4;TNC;LAMC2;LAMC1;THBS2;THBS1;SPP1;ITGB7;LAMB3;ITGA3;FN1;LAMB1;COL1A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;COL6A3;SDC1;ITGA6;AGRN;CD44
KEGG_2019_Human	Fluid shear stress and atherosclerosis	32/139	2.493602e-13	1.008280e-11	0	0	5.837028e+00	1.693898e+02	HSP90AB1;CALML5;SDC4;GSTP1;PLAT;TXN;ACTB;ACTG1;HSP90B1;CTSL;RAC2;RAC1;NQO1;JUN;HSP90AA1;DUSP1;GSTO1;CAV1;MMP2;CYBA;FOS;RHOA;ASS1;BMP4;IL1A;IL1B;GSTA1;SDC1;CTNNB1;CALM3;SQSTM1;CALM2
KEGG_2019_Human	Protein processing in endoplasmic reticulum	35/165	2.548000e-13	1.008280e-11	0	0	5.264647e+00	1.526658e+02	PPP1R15A;VCP;TRAM1;HSP90AB1;RPN2;PRKCSH;RPN1;RRBP1;HSP90B1;SEC61A1;GANAB;OS9;SEC61G;CAPN2;SEC61B;PDIA3;BCAP31;HSPA8;XBP1;HSP90AA1;HSPA5;SSR3;PDIA6;CKAP4;DDOST;PDIA4;DNAJA1;DAD1;DDIT3;CANX;STT3B;CALR;P4HB;CRYAB;ATF4
KEGG_2019_Human	PI3K-Akt signaling pathway	53/354	7.692091e-13	2.663386e-11	0	0	3.476785e+00	9.697939e+01	YWHAE;ITGB1;CDKN1A;HSP90AB1;YWHAB;ITGB4;TNC;LAMC2;LAMC1;AREG;TCL1A;CCND1;YWHAQ;MYC;ITGB7;RAC1;YWHAG;HSP90AA1;ITGA3;RPS6;YWHAZ;COL4A2;COL4A1;COL6A2;DDIT4;COL6A1;COL6A3;ITGA6;MET;EPHA2;ATF4;THBS2;THBS1;EGFR;HSP90B1;ERBB2;SPP1;EIF4EBP1;EIF4B;MCL1;LAMB3;IGF2;FN1;LAMB1;GNG12;COL1A1;IL6;COL1A2;CDK4;GNB2;IL2RB;FGFR2;BCL2L1
KEGG_2019_Human	IL-17 signaling pathway	23/93	1.220078e-10	3.755128e-09	0	0	6.366282e+00	1.453227e+02	CXCL6;HSP90AA1;CEBPB;JUN;CXCL8;HSP90AB1;JUND;MMP1;MMP3;SRSF1;CXCL1;FOS;CXCL5;HSP90B1;NFKBIA;FOSL1;IL6;IL1B;LCN2;S100A9;CCL17;S100A8;S100A7
KEGG_2019_Human	Leukocyte transendothelial migration	25/112	2.073229e-10	5.742844e-09	0	0	5.574123e+00	1.242848e+02	ITGB1;CXCR4;THY1;CLDN2;CLDN1;ACTB;MYL12A;ACTG1;MYL12B;RAC2;RAC1;CD99;MMP2;MSN;CYBA;ACTN4;RHOA;CLDN4;CLDN3;CLDN7;CLDN18;CTNNB1;CLDN16;EZR;MYL9
KEGG_2019_Human	Tight junction	31/170	3.401710e-10	8.566124e-09	0	0	4.340980e+00	9.464020e+01	ITGB1;PCNA;CLDN2;CLDN1;ACTB;MYL12A;ACTG1;MYL12B;SLC9A3R1;TUBA1C;TUBA1B;TUBA1A;CCND1;ERBB2;RAC1;ACTR2;JUN;MSN;ACTN4;RHOA;MYL6;CLDN4;CLDN3;CTTN;CDK4;CLDN7;MYH9;CLDN18;CLDN16;EZR;MYL9
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	28/149	1.190825e-09	2.748821e-08	0	0	4.494541e+00	9.235662e+01	NDUFB9;COX7B;CXCL8;NDUFB7;NDUFB3;COX7A2;COX6A1;COX5B;COX7C;COX5A;UQCRH;CYC1;RAC1;COX8A;XBP1;JUN;NDUFA4;NDUFA1;COX6C;COX6B1;IL1A;IL6;DDIT3;IL1B;NDUFS5;NDUFAB1;CYCS;ATF4
KEGG_2019_Human	Proteoglycans in cancer	33/201	1.557198e-09	3.318029e-08	0	0	3.825380e+00	7.758016e+01	ITGB1;CD63;CDKN1A;DDX5;SDC4;HIF1A;THBS1;ACTB;EGFR;ACTG1;CCND1;CTSL;PLAU;MYC;ERBB2;GPC3;FLNA;RAC1;EIF4B;LUM;CAV1;MMP2;RPS6;IGF2;FN1;MSN;RHOA;CTTN;SDC1;CTNNB1;EZR;MET;CD44
KEGG_2019_Human	Protein digestion and absorption	21/90	2.449154e-09	4.676950e-08	0	0	5.885198e+00	1.166889e+02	COL17A1;ELN;COL11A1;COL12A1;ATP1B3;SLC3A2;SLC1A5;ATP1A1;ATP1B1;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A2;COL6A1;COL5A2;COL6A3;PRSS2;SLC38A2
KEGG_2019_Human	Viral myocarditis	17/59	2.532644e-09	4.676950e-08	0	0	7.806181e+00	1.545156e+02	HLA-DRB5;CAV1;PRF1;HLA-B;HLA-C;HLA-A;ACTB;ACTG1;HLA-E;CCND1;RAC2;HLA-DRA;CYCS;RAC1;CD55;EIF4G2;HLA-DRB1
KEGG_2019_Human	Antigen processing and presentation	19/77	5.186412e-09	8.978975e-08	0	0	6.325319e+00	1.206695e+02	PDIA3;CD74;HSPA8;HSP90AA1;HLA-DRB5;HSP90AB1;HSPA5;HLA-B;HLA-C;HLA-A;HLA-E;CTSL;CANX;PSME1;HLA-DRA;CALR;B2M;HLA-DRB1;CTSB
