Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Eukaryotic Translation Elongation R-HSA-156842	37/90	7.518003e-64	4.533356e-61	0	0	2.199278e+02	3.196610e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPS3A;RPSA;EEF2;EEF1A1;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Peptide Chain Elongation R-HSA-156902	36/86	2.003509e-62	6.040579e-60	0	0	2.233125e+02	3.172497e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPS3A;RPSA;EEF2;EEF1A1;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	37/108	3.190706e-60	6.413320e-58	0	0	1.640226e+02	2.247025e+04	RPL4;RPL5;RPL3;RPL12;RPLP1;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36;EIF4H;RPL35;RPLP2;RPS2;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPL35A;RPSA;RPS3A;RPS25;EIF3I;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	37/109	4.815741e-60	7.259730e-58	0	0	1.617363e+02	2.209047e+04	RPL4;RPL5;RPL3;RPL12;RPLP1;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36;EIF4H;RPL35;RPLP2;RPS2;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPL35A;RPSA;RPS3A;RPS25;EIF3I;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Cap-dependent Translation Initiation R-HSA-72737	37/116	7.583323e-59	9.145488e-57	0	0	1.473532e+02	1.971978e+04	RPL4;RPL5;RPL3;RPL12;RPLP1;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36;EIF4H;RPL35;RPLP2;RPS2;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPL35A;RPSA;RPS3A;RPS25;EIF3I;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	35/98	1.267735e-57	1.092063e-55	0	0	1.695470e+02	2.221237e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPSA;RPS3A;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;ATF4;RPS23
Reactome_2022	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	35/98	1.267735e-57	1.092063e-55	0	0	1.695470e+02	2.221237e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPSA;RPS3A;RPS25;EIF3I;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Selenocysteine Synthesis R-HSA-2408557	34/90	6.017366e-57	3.628472e-55	0	0	1.825476e+02	2.363128e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPS3A;RPSA;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Eukaryotic Translation Termination R-HSA-72764	34/90	6.017366e-57	3.628472e-55	0	0	1.825476e+02	2.363128e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPS3A;RPSA;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
Reactome_2022	Viral mRNA Translation R-HSA-192823	34/90	6.017366e-57	3.628472e-55	0	0	1.825476e+02	2.363128e+04	RPL4;RPL5;RPL3;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPS2;RPL39;RPS13;RPL21;RPS8;RPS5;RPL35A;RPS3A;RPSA;RPS25;RPL27;RPS20;FAU;RPL29;RPS21;RPS24;RPS23
