Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Eukaryotic Translation Elongation R-HSA-156842	38/90	3.324848e-66	1.968310e-63	0	0	2.339404e+02	3.527101e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;EEF1B2;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;EEF2;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Peptide Chain Elongation R-HSA-156902	37/86	8.719985e-65	2.093044e-62	0	0	2.379291e+02	3.509511e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;EEF2;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	39/108	1.060664e-64	2.093044e-62	0	0	1.837512e+02	2.706776e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;EIF4H;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	37/92	2.106479e-63	3.117590e-61	0	0	2.119091e+02	3.058226e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	Cap-dependent Translation Initiation R-HSA-72737	39/116	3.128017e-63	3.703572e-61	0	0	1.645938e+02	2.368874e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;EIF4H;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	38/109	2.896103e-62	2.857488e-60	0	0	1.711726e+02	2.425464e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;EIF4H;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	37/98	3.921649e-62	3.316594e-60	0	0	1.910078e+02	2.700731e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24;ATF4
Reactome_2022	Selenocysteine Synthesis R-HSA-2408557	36/90	1.599056e-61	9.466414e-60	0	0	2.067292e+02	2.893966e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Eukaryotic Translation Termination R-HSA-72764	36/90	1.599056e-61	9.466414e-60	0	0	2.067292e+02	2.893966e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Viral mRNA Translation R-HSA-192823	36/90	1.599056e-61	9.466414e-60	0	0	2.067292e+02	2.893966e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	36/98	7.261948e-60	3.908248e-58	0	0	1.799819e+02	2.450857e+04	RPL4;RPL30;RPL3;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPS3;RPL35;RPS2;RPS11;RPL18;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	37/112	1.610740e-59	7.946319e-58	0	0	1.552434e+02	2.101620e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	36/108	5.085221e-58	2.315731e-56	0	0	1.549062e+02	2.043579e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Influenza Infection R-HSA-168255	39/157	2.968979e-57	1.255454e-55	0	0	1.071823e+02	1.395075e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;HSP90AA1;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;CANX;RPL27;CALR;RPL29;RPS21;RPS24
Reactome_2022	Selenoamino Acid Metabolism R-HSA-2408522	36/114	5.183169e-57	2.045624e-55	0	0	1.429471e+02	1.852622e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	39/167	4.488259e-56	1.660656e-54	0	0	9.875871e+01	1.258614e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;PSMA7;RPL7A;RPS17;RPS16;RPS19;RPL18A;UBC;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	Influenza Viral RNA Transcription And Replication R-HSA-168273	37/137	1.007365e-55	3.508000e-54	0	0	1.162857e+02	1.472582e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;HSP90AA1;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Signaling By ROBO Receptors R-HSA-376176	41/209	1.158921e-55	3.811563e-54	0	0	8.161945e+01	1.032443e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;PSMA7;RPL7A;RPS17;RPS16;RPS19;RPL18A;UBC;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RHOA;RPS25;RPS27;RPL27;PABPC1;RPL29;PFN1;RPS21;RPS24
Reactome_2022	Cellular Response To Starvation R-HSA-9711097	37/153	1.055982e-53	3.290217e-52	0	0	1.001653e+02	1.221842e+04	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24;ATF4
Reactome_2022	Translation R-HSA-72766	41/281	5.463524e-50	1.617203e-48	0	0	5.692514e+01	6.457085e+03	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;EEF1B2;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;EIF4H;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;EEF2;RPS25;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24
Reactome_2022	Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226	36/179	5.459940e-49	1.539183e-47	0	0	7.771547e+01	8.636461e+03	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	rRNA Processing In Nucleus And Cytosol R-HSA-8868773	36/189	4.640979e-48	1.248845e-46	0	0	7.259926e+01	7.912533e+03	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Infectious Disease R-HSA-5663205	56/961	2.077550e-47	5.347434e-46	0	0	2.671321e+01	2.871411e+03	RPL4;RPL30;RPL3;HSP90AB1;RPLP1;ENO1;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;SNRPD2;RPS19;RPL18A;RPL36;RPL35;RPS11;RPL39;RPS13;ACTR2;HSP90AA1;RPL21;RPS8;RPS5;TUBB;RPS6;RPL13A;RPSA;CANX;RPL27;RPL29;SLC25A5;PPIA;SNRPB;RAB7A;DDX5;RPL12;RPL11;PSMA7;GANAB;UBC;RPS3;RPS2;RPL18;NPM1;PTGES3;RPL35A;RPL23A;EEF2;RPS25;HNRNPK;RPS27;CALR;RPS21;RPS24
Reactome_2022	rRNA Processing R-HSA-72312	36/199	3.484779e-47	8.595788e-46	0	0	6.811081e+01	7.286024e+03	RPL4;RPL30;RPL3;RPL12;RPLP1;RPL11;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;RPS27;RPL27;RPL29;RPS21;RPS24
Reactome_2022	Metabolism Of RNA R-HSA-8953854	48/666	4.159362e-44	9.849368e-43	0	0	2.880060e+01	2.876845e+03	RPL4;RPL30;DDX5;SET;RPL3;RPL12;RPLP1;RPL11;HNRNPU;YBX1;RPL8;RPL9;RPL6;PSMA7;RPL7A;RPS17;RPS16;SNRPD2;RPS19;RPL18A;PCBP1;UBC;RPS3;RPL36;RPL35;RPS2;RPL18;RPS11;RPL39;RPS13;EIF4B;RPL21;RPS8;RPS5;RPS6;RPL13A;RPL35A;RPSA;RPL23A;RPS25;HNRNPK;RPS27;RPL27;PABPC1;RPL29;RPS21;RPS24;SNRPB
